Name,Location,Founded,Employees,About,Skills,Link
OpenEnvoy - SDE IV,"Job available in Bangalore, Hyderabad",2020,30,"OpenEnvoy is a fintech startup solving fraud through account payable automation, the product offers automatic identification of invoice discrepancies, aging process automation, and supplier fraud elimination.",['Node.js'],https://www.instahyre.com/job-294407-sde-iv-at-openenvoy-bangalore-hyderabad/
R Systems International - Azure Migration Specialist,Job available in Noida,1993,1000,"R Systems is an specialized IT Services & Solutions provider of Deep Analytics, Robotic Process Automation, QA & Testing, App Development, KPO/BPO, Supply Chain Solutions & Mobile Broadband Management.","['Azure', 'Terraform', 'Data Migration', 'IT Infrastructure']",https://www.instahyre.com/job-294348-azure-migration-specialist-at-r-systems-international-noida/
Ruse Home - Software Engineer,Job available in Bangalore,2020,30,SmartDEN focuses on providing a one-stop solution to automated homes along with 360-degree smart living experience with a with fully managed centralized app to automate homes.,"['Django', 'Flask']",https://www.instahyre.com/job-294125-software-engineer-at-ruse-home-bangalore/
SigTech - Mid Python Developer,Job available in Bangalore,2019,125,"SigTech specializes in offering a future-proof quant trading platform to global investment managers that validates financial data and provides the tools to research, build, and deploy customized strategies.","['NumPy', 'pandas', 'PySpark', 'pytest']",https://www.instahyre.com/job-294167-mid-python-developer-at-sigtech-bangalore/
Squadcast - Technical Solutions Engineer,Job available in Work From Home,2017,30,"Squadcast is an IT & Services company that specializes in solutions wrt DevOps, Site Reliability Engineering, Incident Resolution, Cloud Reliability, Cloud Monitoring, Alert Management, etc.","['JavaScript', 'MongoDB', 'PostgreSQL', 'React.js']",https://www.instahyre.com/job-294366-technical-solutions-engineer-at-squadcast-work-from-home/
Tech Mahindra - Senior Lead Consultant,Job available in Delhi,1986,1000,"Tech Mahindra is an MNC provider of IT, networking, and BPO services to various verticals & horizontals. With 1.2 lakhs professionals across 90 countries, it is valued at US$4.7 Billion. Ranked #15 in Forbes Digital List.","['Kubernetes', 'AWS', 'Helm', 'Istio']",https://www.instahyre.com/job-294388-senior-lead-consultant-at-tech-mahindra-2-delhi/
Thriving Springs - AI Tech Lead,Job available in Hyderabad,2022,30,Thriving Springs is an IT company developing an AI and ML powered employee learning and engagement suite to bridge the gap in employee development by implementing emotional intelligence in daily workflows.,"['Machine Learning', 'NLP']",https://www.instahyre.com/job-294259-ai-tech-lead-at-thriving-springs-hyderabad/
WorkOnGrid - Backend Developer SDE - 1,Job available in Bangalore,2017,30,"WorkOnGrid is an IT services and consulting firm specializing in data collection, analytics, data visualization, reporting, AI, and more that help businesses across tech-enabled data-driven decisions.","['Django', 'Flask']",https://www.instahyre.com/job-294146-backend-developer-sde-1-at-workongrid-bangalore/
Affine Analytics - Principal MLOps Engineer,Job available in Bangalore,2011,350,"Affine provides analytics services to different verticals, prominent ones being Retail, CPG, eCommerce, BFSI and Telecom. The client base comprises some Fortune-500 companies besides others.","['MLOps', 'Machine Learning', 'TensorFlow', 'Big Data']",https://www.instahyre.com/job-294074-principal-mlops-engineer-at-affine-analytics-bangalore/
Atlys - Backend Engineer,Job available in Delhi,2020,30,Atlys is a technology-enabled company that aims to make travel efficient for customers by prioritizing and automating interactions to make it easy to get a visa for enough travelers.,['Node.js'],https://www.instahyre.com/job-294057-backend-engineer-at-atlys-delhi/
Aumni Techworks - Python Developer,Job available in Pune,2016,350,"Aumni Techworks is an IT company that democratizes the software development landscape by providing project-based outsourcing services to contribute to the growth of global software companies, with lower investment.","['AWS', 'JSON', 'RabbitMQ']",https://www.instahyre.com/job-294103-python-developer-at-aumni-techworks-pune/
Axiamatic - Software Engineer - ML - AI,Job available in Bangalore,2021,30,"Axiamatic is a product-based startup that helps businesses and SMEs by creating a platform to bring agility to their sales, acquisition, and adoption of enterprise software products.","['Computer Vision', 'Machine Learning', 'NLP', '+2', 'PyTorch', 'TensorFlow']",https://www.instahyre.com/job-293985-software-engineer-ml-ai-at-axiamatic-2-bangalore/
Carnera Technologies - Cloud Engineer,"Job available in Bangalore, Pune",2018,125,"Carnera is an IT consulting company that helps global companies across diverse industry verticals grow faster by delivering strategic talent, and engineering solutions to set up product engineering teams.","['Java', 'JavaScript', 'Node.js', 'React.js']",https://www.instahyre.com/job-294107-cloud-engineer-at-carnera-technologies-bangalore-pune/
Greytip Software - Senior Team Lead - Quality Assurance,Job available in Work From Home,1994,350,"GreytHR, a product of Greytip, offers a cloud-based platform for HR department professionals for activities such as employee management, payroll management, attendance, leave monitoring, etc.","['Automation Testing', 'Manual Testing', 'SDET', 'Java', '+1', 'Selenium']",https://www.instahyre.com/job-294069-senior-team-lead-quality-assurance-at-greytip-software-work-from-home/
HDFC Bank - DevOps Engineer,Job available in Bangalore,1994,1000,"HDFC is a diversified banking and financial services firm. Offers products & services across personal banking, wholesale banking, investments, and insurance. It is the largest bank in India by market capitalization","['AWS', 'DevOps', 'Kubernetes', 'CI - CD']",https://www.instahyre.com/job-293986-devops-engineer-at-hdfc-bank-bangalore/
Heymarket - Integrations Engineer,Job available in Work From Home,2022,30,"Heymarket is a business messaging platform that simplifies business conversation across time-zones and channels through its unified inbox, 1,500 businesses use this for web and mobile applications.","['Salesforce', 'AWS CloudFormation', 'Golang', 'Git']",https://www.instahyre.com/job-294037-integrations-engineer-at-heymarket-work-from-home/
